標題,是否免費,價格,活動日期,圖片網址,活動連結
台北 | 鐵達尼號電影音樂會2025台北場｜台北流行音樂中心,付費,HK$ 216,6月8日(週日),"https://res.klook.com/image/upload/x_0,y_66,w_1322,h_1851,c_crop/v1744360159/events_admin/h8cuvz1xbe1hlkdshuys.jpg",https://www.klook.com/zh-TW/event-detail/101029270-2025-titanic-concert-taipei/
台北 | 2025 Bon Pain 台北麵包祭｜有趣市集｜圓山花博,免費,免費,4月19日(週六) - 4月20日(週日),"https://res.klook.com/image/upload/x_1013,y_0,w_718,h_1005,c_crop/v1743415743/events_admin/gpr2hq8fhalhpcqprysm.jpg",https://www.klook.com/zh-TW/event-detail/101029130-2025-bon-pain-festival/
台北 | 石頭書 The Book of Stone｜郭志宏個展,免費,免費,3月29日(週六) - 4月26日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1743408723/events_admin/nanvppgleqyavz0rtln9.jpg",https://www.klook.com/zh-TW/event-detail/101029123-2025-the-book-of-stone/
新北 | Jay Park演唱會2025台北站｜2025 Jay Park World Tour [Serenades & Body Rolls] in Taipei｜Zepp New Taipei,付費,HK$ 671,6月19日(週四),"https://res.klook.com/image/upload/x_58,y_0,w_964,h_1350,c_crop/v1743998489/events_admin/pjfjoooovkxv2hcjq5ny.jpg",https://www.klook.com/zh-TW/event-detail/101029122-2025-jay-park-concert-taipei/
台北 | 五月天大巨蛋演唱會2025｜玉山銀行冠名贊助 MAYDAY #5525 LIVE TOUR 五月天 [ 回到那一天 ] 25週年巡迴演唱會台北站．大巨蛋首唱版｜台北大巨蛋,付費,價格待公布,6月27日(週五) - 7月12日(週六),"https://res.klook.com/image/upload/x_58,y_0,w_964,h_1350,c_crop/v1743396487/events_admin/w01awfgfu26czp0gfu4r.jpg",https://www.klook.com/zh-TW/event-detail/101029120-2025-mayday-taipei-dome-concer/
台中 | 2025台灣連鎖加盟創業大展-加盟創業講堂(台中場),免費,免費,4月11日(週五) - 4月14日(週一),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1743060851/events_admin/snilm7zte0shzyjxqz8a.jpg",https://www.klook.com/zh-TW/event-detail/101029101-2025-chainfranchise-expo/
台北 | 觀察之樹家具—家具，家庭的一份子 2025 @ 新芳春,免費,免費,4月9日(週三) - 5月11日(週日),"https://res.klook.com/image/upload/x_73,y_0,w_1216,h_1702,c_crop/v1743082798/events_admin/jwldf5gwzz9fcirk3dyq.jpg",https://www.klook.com/zh-TW/event-detail/101029112-2025-furniture-exhibition/
台北 |  2025台灣國際建築‧建材‧廚具空間設計展-趨勢論壇,免費,免費,4月25日(週五) - 4月28日(週一),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1743062545/events_admin/myeskgonq2nqfvcyhiy9.jpg",https://www.klook.com/zh-TW/event-detail/101029108-2025-tw-archi-design-expo/
新竹 | 《恆綻》盧卡斯・佛利亞首度亞洲個展,免費,免費,4月12日(週六) - 6月14日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1743044906/events_admin/yuwyswlspoaby67vjljt.jpg",https://www.klook.com/zh-TW/event-detail/101029094-2025-lucas-foglia-exhibition/
台北 | 2025城西夏樂慶｜厝邊頭尾．歡喜鬧熱,免費,免費,4月3日(週四) - 4月20日(週日),"https://res.klook.com/image/upload/x_0,y_13,w_1684,h_2358,c_crop/v1742952305/events_admin/lqzsflfxvlwoyyts5ej9.jpg",https://www.klook.com/zh-TW/event-detail/101029075-2025-bopiliao-festival/
台中 |  2025《小朋友的歌劇院探索—綠色篇》,付費,HK$ 84,4月26日(週六) - 4月27日(週日),"https://res.klook.com/image/upload/x_38,y_0,w_554,h_775,c_crop/v1742892324/events_admin/teq8yhjecrnzwnmsouhw.jpg",https://www.klook.com/zh-TW/event-detail/101029066-2025-ntt-family-event/
台北 | 三秦公孫 乙巳張克晉書畫展,免費,免費,4月1日(週二) - 4月15日(週二),"https://res.klook.com/image/upload/x_322,y_0,w_328,h_459,c_crop/v1743146386/events_admin/rlrbmngbe4v72ypexsrx.jpg",https://www.klook.com/zh-TW/event-detail/101029113-2025-taipei-exhibition/
台北 | 《2025 敢洩祭》,付費,HK$ 208,5月3日(週六),"https://res.klook.com/image/upload/x_0,y_8,w_1358,h_1901,c_crop/v1743060301/events_admin/robtuq6nzu9djxy0nvlz.jpg",https://www.klook.com/zh-TW/event-detail/102000471-colaresearchclub/
"台北 | 朴信惠見面會2025台北站｜2025 PARK SHIN HYE ASIA TOUR IN TAIPEI <HYE, TALK> ",付費,HK$ 1049,5月3日(週六),"https://res.klook.com/image/upload/x_0,y_4,w_843,h_1180,c_crop/v1743062881/events_admin/trmicondvgscpwxquvr1.jpg",https://www.klook.com/zh-TW/event-detail/101029109-2025-park-shin-hye-taipei/
台北 | 2025 台北當代藝術博覽會,付費,HK$ 84,4月14日(週一) - 5月11日(週日),https://res.klook.com/image/upload/TAIPEI_DANGDAI_banner-w326xh460px_yj7zsq.jpg,https://www.klook.com/zh-TW/activity/149377-2025-taipei-dangdai-art-ideas/
高雄 | 伍佰演唱會2025高雄站｜國泰世華銀行 伍佰 & China Blue Rock Star2演唱會-高雄站｜高雄巨蛋,付費,價格待公布,11月22日(週六) - 11月23日(週日),"https://res.klook.com/image/upload/x_0,y_12,w_1587,h_2222,c_crop/v1742801669/events_admin/ccftsujmgncqedli1yzt.jpg",https://www.klook.com/zh-TW/event-detail/101029044-2025-wubai-kaohsiung-concert/
台北 | STAYC演唱會2025台北站｜2025 STAYC TOUR [STAY TUNED] in TAIPEI｜台北國際會議中心 TICC,付費,HK$ 671,8月23日(週六),"https://res.klook.com/image/upload/x_5,y_0,w_834,h_1167,c_crop/v1742799536/events_admin/eulnzvia8rgzs9i8nzky.jpg",https://www.klook.com/zh-TW/event-detail/101029042-2025-stayc-taipei-concert/
高雄 | 日常之歌,付費,價格待公布,2024年4月25日(週四) - 2025年4月27日(週日),"https://res.klook.com/image/upload/x_81,y_0,w_429,h_600,c_crop/v1742628789/events_admin/squvhaq2th3g9x6byht9.jpg",https://www.klook.com/zh-TW/event-detail/101029037-2025-sinpinpier-show/
高雄 | 吾之萬象—宇化萬千    李哲儀個展,免費,免費,4月19日(週六) - 5月11日(週日),"https://res.klook.com/image/upload/x_0,y_45,w_2024,h_2834,c_crop/v1742542993/events_admin/si07hptmng1nvnzmae1i.jpg",https://www.klook.com/zh-TW/event-detail/101029030-2025-kaohsiung-exhibition/
台北 | 七龍珠音樂冒險盛會｜台北流行音樂中心,付費,HK$ 431,5月10日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742551835/events_admin/fklji0zhfsesiiakmvb3.jpg",https://www.klook.com/zh-TW/event-detail/101029027-2025-dragonball-concert/
台中 | WH.LAND 心意市集,免費,免費,5月1日(週四) - 5月4日(週日),"https://res.klook.com/image/upload/x_0,y_18,w_2480,h_3472,c_crop/v1742453523/events_admin/ru0pebpdzjm1wvqsxfzg.jpg",https://www.klook.com/zh-TW/event-detail/101029020-2025-wh-land-market/
台北 | 《日子在說話》張文菀個展 〈The Days Speak〉- Cheng Wen Woan Solo Exhibition,免費,免費,3月28日(週五) - 5月10日(週六),"https://res.klook.com/image/upload/x_0,y_142,w_992,h_1389,c_crop/v1742363380/events_admin/rmxraclqdipvtsg85t5n.jpg",https://www.klook.com/zh-TW/event-detail/101028997-2025-the-days-speak/
新北 | 【所在 - 物件離合】許旭倫陶藝創作展,免費,免費,4月4日(週五) - 5月26日(週一),"https://res.klook.com/image/upload/x_0,y_240,w_2756,h_3858,c_crop/v1742263091/events_admin/o2y6rpzlp1yyqwlrvq5b.jpg",https://www.klook.com/zh-TW/event-detail/101028963-2025-presence-exhibition/
台北 | 優里演唱會2025台北站｜YUURI ASIA TOUR 2025 in TAIPEI｜台北小巨蛋,付費,價格待公布,10月11日(週六) - 10月12日(週日),"https://res.klook.com/image/upload/x_0,y_11,w_1447,h_2026,c_crop/v1742281059/events_admin/vokdfxhtjkw1cwlvkpgf.jpg",https://www.klook.com/zh-TW/event-detail/101028977-2025-yuuri-taipei-concert/
台北 | 中華職棒36年 2025味全龍主場賽事｜天母棒球場・大巨蛋球場,付費,HK$ 60,4月15日(週二) - 6月22日(週日),https://res.klook.com/image/upload/2025味全龍主視覺_直式_cmcjgh.jpg,https://www.klook.com/zh-TW/activity/147143-2025-weichuan-dragons-baseball-game/
台北 | 從印象派到現代主義─美國大都會博物館名作展,付費,HK$ 96,4月14日(週一) - 6月13日(週五),https://res.klook.com/image/upload/1_klook早鳥票_326x460_zqtmlq.jpg,https://www.klook.com/zh-TW/activity/149320-from-impressionism-to-modernism-masterpieces-from-the-metropolitan-museum-of-art-exhibition-ticket/
台北 | Verknipt Taiwan 2025,付費,HK$ 574,5月9日(週五),https://res.klook.com/image/upload/326x460_1_yu8qyo.png,https://www.klook.com/zh-TW/activity/149342-verknipt-taiwan-2025/
台北 | 《暮光之城》電影音樂會 Twilight In Concert｜國家兩廳院,付費,HK$ 431,6月28日(週六) - 6月29日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742376391/events_admin/cp3udxghxs1xwp000u4j.jpg",https://www.klook.com/zh-TW/event-detail/101029008-2025-twilight-in-concert/
台北 | 快意生活節｜市集,免費,免費,4月26日(週六) - 4月27日(週日),"https://res.klook.com/image/upload/x_641,y_0,w_766,h_1072,c_crop/v1742370754/events_admin/j5ac2zejc7whhaztp3dk.jpg",https://www.klook.com/zh-TW/event-detail/101029004-2025-weekend-bazzar/
台北 | 親子日和派對市集｜愛手創 x 美麗華｜母親節2025,免費,免費,4月19日(週六) - 5月11日(週日),"https://res.klook.com/image/upload/x_0,y_0,w_5001,h_7001,c_crop/v1742369817/events_admin/et1ovejfllgper9n3a6n.jpg",https://www.klook.com/zh-TW/event-detail/101029003-2025-date-with-mom-bazzar/
高雄 | LANY高雄演唱會2025｜LANY - a beautiful blur: the world tour｜高雄流行音樂中心,付費,HK$ 431,6月1日(週日),"https://res.klook.com/image/upload/x_8,y_0,w_1458,h_2041,c_crop/v1742368876/events_admin/i2tgaucqzh7dlvc1mnyh.jpg",https://www.klook.com/zh-TW/event-detail/101028999-2025-lany-kaohsiung-concert/
桃園 | 陶異星漫遊｜陶趣生活市集｜中原文創園區,免費,免費,3月29日(週六) - 5月11日(週日),"https://res.klook.com/image/upload/x_0,y_0,w_5001,h_7001,c_crop/v1742284034/events_admin/cysjz3uvpjwuswhwsajl.jpg",https://www.klook.com/zh-TW/event-detail/101028981-2025-taoyuan-weekend-market/
台北 | SKY-NANI台北見面會2025｜SKY-NANI 1ST FANMEETING IN TAIPEI｜Legacy TERA,付費,HK$ 767,5月4日(週日),"https://res.klook.com/image/upload/x_0,y_67,w_1415,h_1981,c_crop/v1742280306/events_admin/c7ena9iqs4xaq4sxw6ds.jpg",https://www.klook.com/zh-TW/event-detail/101028975-2025-sky-nani-taipei-fanmeet/
台北 | 彭佳慧台北演唱會2025｜彭佳慧 2025「一路這樣愛過來」演唱會｜台北小巨蛋,付費,HK$ 192,6月7日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742279193/events_admin/tkhcrdjhfxy3fusn20ga.jpg",https://www.klook.com/zh-TW/event-detail/101028971-2025-julia-peng-taipei-concert/
新竹 | 她．MMXXV如是說｜謝鴻均薪傳展｜新竹市美術館,免費,免費,3月18日(週二) - 5月11日(週日),"https://res.klook.com/image/upload/x_0,y_10,w_1448,h_2027,c_crop/v1742277873/events_admin/stllgiwfy3koatrt2n82.jpg",https://www.klook.com/zh-TW/event-detail/101028969-2025-mmxxv-exhibition/
新竹 | 島嶼幻境：沉浸式動畫｜趙憶憫個展,免費,免費,3月18日(週二) - 4月20日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742276993/events_admin/dv8401p6xrvpujydeaur.jpg",https://www.klook.com/zh-TW/event-detail/101028968-2025-chao-i-min-exhibition/
桃園 | ANISAMA WORLD 2025 in TAOYUAN｜動漫歌曲演唱會「Animelo Summer Live」｜桃園會展中心,付費,價格待公布,5月24日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742360827/events_admin/krdxlonewdhqtb01gfaf.jpg",https://www.klook.com/zh-TW/event-detail/101028962-2025-anisama-world-taoyuan/
台北 | TAIL台北演唱會2025｜TAIL ASIA TOUR 2025｜Legacy Taipei,付費,HK$ 455,6月28日(週六),"https://res.klook.com/image/upload/x_0,y_15,w_1441,h_2017,c_crop/v1742206797/events_admin/wnullufrj5tgmt0gdbkr.jpg",https://www.klook.com/zh-TW/event-detail/101028960-2025-tail-asia-tour-taipei/
新竹 | 「數位迷蹤」主題展｜新竹241藝術空間,免費,免費,3月18日(週二) - 6月1日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1742205951/events_admin/dveuhakmclrwav46hvyo.jpg",https://www.klook.com/zh-TW/event-detail/101028959-2025-techno-art-exhibition/
台北 | MoCA Video「檔案重製—林俊耀個展」,免費,免費,2025年3月15日(週六) - 2026年5月4日(週一),"https://res.klook.com/image/upload/x_0,y_8,w_1358,h_1901,c_crop/v1741768636/events_admin/eeoi87lfjimkn5d66kjl.jpg",https://www.klook.com/zh-TW/event-detail/101028897-2025-archiving-the-scene-moca/
高雄 | 2025 怡岑《要到你想逃》音樂喜劇專場 高雄場,付費,HK$ 192,4月19日(週六),"https://res.klook.com/image/upload/x_0,y_7,w_1359,h_1903,c_crop/v1744275970/events_admin/gbpc1ep63jwvoe6upu6f.jpg",https://www.klook.com/zh-TW/event-detail/102000437-andrew-patanie-kaohsiung-2025/
台中 | 2025 怡岑《要到你想逃》音樂喜劇專場 台中場,付費,HK$ 240,5月17日(週六),"https://res.klook.com/image/upload/x_0,y_7,w_1359,h_1903,c_crop/v1744275912/events_admin/n4lb2g5fofynpdokrk7v.jpg",https://www.klook.com/zh-TW/event-detail/102000436-andrew-patanie-taichung-2025/
