s_name,county,address,geo_loc,gmaps_url,s_type,area
金車生技水產養殖研發中心,宜蘭縣,宜蘭縣礁溪鄉淇武蘭路162之13號,POINT(121.79362 24.81700),https://www.google.com/maps/place/?q=place_id:ChIJ4XxrOGn6ZzQRNaC6GgG-bMI,室內,礁溪鄉
呂美麗精雕藝術館,宜蘭縣,宜蘭縣礁溪鄉興農路322巷1號,POINT(121.78350 24.81562),https://www.google.com/maps/place/?q=place_id:ChIJvREktVz6ZzQRf6hIck9261s,室內,礁溪鄉
五峰旗聖母朝聖地,宜蘭縣,宜蘭縣礁溪鄉五峰路91巷10號,POINT(121.74510 24.83290),https://www.google.com/maps/place/?q=place_id:ChIJW8dCqr_7ZzQRnF1ccABiBLg,戶外,礁溪鄉
礁溪溫泉廣場,宜蘭縣,宜蘭縣礁溪鄉礁溪路五段156號,POINT(121.77364 24.82873),https://www.google.com/maps/place/?q=place_id:ChIJ86DaKjb6ZzQREjjojIctFB0,戶外,礁溪鄉
湯圍溝溫泉公園,宜蘭縣,宜蘭縣礁溪鄉德陽路99之11號,POINT(121.76996 24.82851),https://www.google.com/maps/place/?q=place_id:ChIJ772ubUr6ZzQRuY_2y4RvRrM,戶外,礁溪鄉
猴洞坑瀑布,宜蘭縣,宜蘭縣礁溪鄉白石腳路196號,POINT(121.78205 24.84343),https://www.google.com/maps/place/?q=place_id:ChIJO_MKTSH6ZzQRc62tjx_IfU8,戶外,礁溪鄉
淡江大學蘭陽校園,宜蘭縣,宜蘭縣礁溪鄉林尾路180號,POINT(121.72908 24.82185),https://www.google.com/maps/place/?q=place_id:ChIJNdAqNIX7ZzQRUJBEbAOPvCo,戶外,礁溪鄉
林美石磐步道,宜蘭縣,宜蘭縣礁溪鄉林尾路,POINT(121.73570 24.82256),https://www.google.com/maps/place/?q=place_id:ChIJNdNOwpv7ZzQR6K_ktSipnsY,戶外,礁溪鄉
礁溪高爾夫球場,宜蘭縣,宜蘭縣礁溪鄉林尾路156號,POINT(121.73940 24.82499),https://www.google.com/maps/place/?q=place_id:ChIJF-JlaKb7ZzQRpKuvrk6aPOY,戶外,礁溪鄉
金棗文化館,宜蘭縣,宜蘭縣礁溪鄉林尾路139之2號,POINT(121.74944 24.81479),https://www.google.com/maps/place/?q=place_id:ChIJYdT_Faf7ZzQRc-NfATdn8vQ,室內,礁溪鄉
宜蘭幾米公園,宜蘭縣,宜蘭縣宜蘭市宜興路一段240號,POINT(121.75700 24.75263),https://www.google.com/maps/place/?q=place_id:ChIJdTXpxtvkZzQRYSmxKq3qjSI,戶外,宜蘭市
頭城老街,宜蘭縣,宜蘭縣頭城鎮和平街,POINT(121.82416 24.85697),https://www.google.com/maps/place/?q=place_id:ChIJZZ9djkL3ZzQRF9H_SPRrAfo,戶外,頭城鎮
羅東運動公園 東丘 落羽松,宜蘭縣,宜蘭縣羅東鎮公正路666號,POINT(121.75752 24.68277),https://www.google.com/maps/place/?q=place_id:ChIJR_I4YILmZzQRmijPLPyNOug,戶外,羅東鎮
宜蘭河濱公園,宜蘭縣,宜蘭縣宜蘭市環河東路,POINT(121.75623 24.76482),https://www.google.com/maps/place/?q=place_id:ChIJJSKrw9PkZzQRGHa6tlIuCeQ,戶外,宜蘭市
清水地熱公園,宜蘭縣,宜蘭縣大同鄉三星路八段501巷150號,POINT(121.63657 24.61181),https://www.google.com/maps/place/?q=place_id:ChIJVVVVVRVxaDQRDc3Y8MyRVlE,戶外,大同鄉
中興文化創意園區,宜蘭縣,宜蘭縣五結鄉中正路二段6之8號,POINT(121.77108 24.69430),https://www.google.com/maps/place/?q=place_id:ChIJkYBhy83lZzQRyqzQY4ByOGQ,室內,五結鄉
宜蘭運動公園,宜蘭縣,宜蘭縣宜蘭市中山路一段755號,POINT(121.75250 24.73806),https://www.google.com/maps/place/?q=place_id:ChIJw0XSCuXkZzQRIg4juN22z6E,戶外,宜蘭市
冬山河生態綠舟,宜蘭縣,宜蘭縣冬山鄉冬山路二段172號,POINT(121.78828 24.63872),https://www.google.com/maps/place/?q=place_id:ChIJnZcO8jXmZzQRBLiQt-TL26M,戶外,冬山鄉
宜蘭文學館,宜蘭縣,宜蘭縣宜蘭市舊城南路縣府二巷19號,POINT(121.74941 24.75502),https://www.google.com/maps/place/?q=place_id:ChIJ2UlVcMTkZzQRWeDcngOvOlA,室內,宜蘭市
宜蘭設治紀念館,宜蘭縣,宜蘭縣宜蘭市舊城南路力行3巷3號,POINT(121.74954 24.75532),https://www.google.com/maps/place/?q=place_id:ChIJC_DVbEPvZzQRXuKuQ79CIGA,室內,宜蘭市
台灣戲劇館,宜蘭縣,宜蘭縣宜蘭市中山路三段1號,POINT(121.75175 24.75486),https://www.google.com/maps/place/?q=place_id:ChIJVTBXopvlZzQRvyi7jOkCG0s,室內,宜蘭市
宜蘭美術館,宜蘭縣,宜蘭縣宜蘭市中山路三段1號,POINT(121.75179 24.75492),https://www.google.com/maps/place/?q=place_id:ChIJMyZ6msTkZzQR-ihlfGlEKDw,室內,宜蘭市
甲子蘭酒文物館,宜蘭縣,宜蘭縣宜蘭市舊城西路3號,POINT(121.74910 24.75693),https://www.google.com/maps/place/?q=place_id:ChIJWUkzSMTkZzQR39me2A_ZYBI,室內,宜蘭市
羅東文化工場,宜蘭縣,宜蘭縣羅東鎮純精路一段96號,POINT(121.76457 24.67187),https://www.google.com/maps/place/?q=place_id:ChIJv4AbDojmZzQR0aMfle7r4MU,戶外,羅東鎮
二結庄生活文化館,宜蘭縣,宜蘭縣五結鄉舊街一路80號,POINT(121.76880 24.70830),https://www.google.com/maps/place/?q=place_id:ChIJ9Sbnk7PlZzQR7giX4sssNWk,室內,五結鄉
壯圍濱海自行車道,宜蘭縣,宜蘭縣壯圍鄉,POINT(121.82818 24.71741),https://www.google.com/maps/place/?q=place_id:ChIJz89XeZnvZzQR0MLQbTbPLaU,戶外,壯圍鄉
安農溪自行車道,宜蘭縣,宜蘭縣三星鄉,POINT(121.65014 24.65969),https://www.google.com/maps/place/?q=place_id:ChIJR3vIOzbgZzQRdVzw4t1jeVI,戶外,三星鄉
冬山河自行車道,宜蘭縣,宜蘭縣冬山鄉,POINT(121.80982 24.66707),https://www.google.com/maps/place/?q=place_id:ChIJO4gx-wHmZzQRtQGX44Cp3mI,戶外,冬山鄉
蜊埤湖,宜蘭縣,宜蘭縣員山鄉蜊埤路,POINT(121.69719 24.75531),https://www.google.com/maps/place/?q=place_id:ChIJHTubuhTjZzQRPxPjCG-lBbE,戶外,員山鄉
太平山國家森林遊樂區,宜蘭縣,宜蘭縣大同鄉太平巷58之1號,POINT(121.53503 24.49772),https://www.google.com/maps/place/?q=place_id:ChIJ_TaOy7JwaDQRFf4T-zm2dqo,戶外,大同鄉
力麗馬告生態園區棲蘭山莊,宜蘭縣,宜蘭縣大同鄉泰雅路四段6號,POINT(121.49224 24.58015),https://www.google.com/maps/place/?q=place_id:ChIJDaFSx9RzaDQR-xAsg5lw52s,戶外,大同鄉
仁山植物園,宜蘭縣,宜蘭縣冬山鄉新寮路500號,POINT(121.75942 24.62459),https://www.google.com/maps/place/?q=place_id:ChIJI5W_Vw3nZzQRrzAvR-_n9i0,戶外,冬山鄉
東岳湧泉,宜蘭縣,宜蘭縣南澳鄉,POINT(121.83100 24.52431),https://www.google.com/maps/place/?q=place_id:ChIJmV4fbkXDZzQRnzpRESRVlMM,戶外,南澳鄉
望龍埤,宜蘭縣,宜蘭縣員山鄉,POINT(121.69910 24.77660),https://www.google.com/maps/place/?q=place_id:ChIJX3qwoUvjZzQRD_TNlJmeDzQ,戶外,員山鄉
長埤湖風景區,宜蘭縣,宜蘭縣三星鄉,POINT(121.61096 24.64405),https://www.google.com/maps/place/?q=place_id:ChIJ2WyDKrcKaDQRrbGZayWe9bg,戶外,三星鄉
羅東林業文化園區,宜蘭縣,宜蘭縣羅東鎮中正北路118號,POINT(121.77225 24.68193),https://www.google.com/maps/place/?q=place_id:ChIJMY-Oj9blZzQR-KxtOScEVwc,戶外,羅東鎮
莎貝莉娜精靈印畫學院,宜蘭縣,宜蘭縣宜蘭市梅洲一路16之3號,POINT(121.73718 24.77711),https://www.google.com/maps/place/?q=place_id:ChIJF-hVjkv7ZzQRZkYk1SCjIkg,戶外,宜蘭市
菌寶貝博物館,宜蘭縣,宜蘭縣宜蘭市梅洲一路22號,POINT(121.73557 24.77634),https://www.google.com/maps/place/?q=place_id:ChIJGdn6jEz7ZzQR-ly6VpiGDms,室內,宜蘭市
金車噶瑪蘭 酒廠,宜蘭縣,宜蘭縣員山鄉員山路二段326號,POINT(121.68853 24.71392),https://www.google.com/maps/place/?q=place_id:ChIJ64ctgcPjZzQRd01GP9yBVYg,室內,員山鄉
養蜂人家蜂采館,宜蘭縣,宜蘭縣員山鄉員山路二段403號,POINT(121.68459 24.70857),https://www.google.com/maps/place/?q=place_id:ChIJKS-1h9DjZzQRiGFkARBdq90,室內,員山鄉
九寮溪生態園區,宜蘭縣,宜蘭縣大同鄉崙埤村林家巷,POINT(121.59838 24.67383),https://www.google.com/maps/place/?q=place_id:ChIJ_9FoarELaDQRFOy5Nzm7Whg,戶外,大同鄉
清溝夜市,宜蘭縣,宜蘭縣冬山鄉清溝路153號,POINT(121.76130 24.66399),https://www.google.com/maps/place/?q=place_id:ChIJD_EWDovmZzQRFlbEcXbdCSk,戶外,冬山鄉
RobertY廢墟暴龍館,宜蘭縣,宜蘭縣蘇澳鎮新城一路30號,POINT(121.82438 24.61576),https://www.google.com/maps/place/?q=place_id:ChIJzwDAcGXoZzQRxaaTayGbIno,室內,蘇澳鎮
張美阿嬤農場,宜蘭縣,宜蘭縣三星鄉行健溪一路二段161號,POINT(121.67561 24.67487),https://www.google.com/maps/place/?q=place_id:ChIJhfheDgnhZzQRzHYRfqcbt3E,戶外,三星鄉
桃園忠烈祠暨神社文化園區,桃園市,桃園市桃園區成功路三段200號,POINT(121.32528 25.00629),https://www.google.com/maps/place/?q=place_id:ChIJayvybg8faDQRIzSItTKNBRY,戶外,桃園區
奧爾森林學堂,桃園市,桃園市桃園區公園路42號,POINT(121.32757 25.00181),https://www.google.com/maps/place/?q=place_id:ChIJCRxzm14eaDQR3PZZ34VhFKU,戶外,桃園區
角板山行館,桃園市,桃園市復興區中正路133之1號,POINT(121.34889 24.81626),https://www.google.com/maps/place/?q=place_id:ChIJO5UTJ7gWaDQRsGP5_Bk6x7Y,室內,復興區
三民蝙蝠洞,桃園市,桃園市復興區東側五寮溪溪谷內,POINT(121.35027 24.83814),https://www.google.com/maps/place/?q=place_id:ChIJI4DErMwQaDQRARdfhbEvTPo,戶外,復興區
東眼山國家森林遊樂區,桃園市,桃園市復興區成福路600號,POINT(121.40794 24.83126),https://www.google.com/maps/place/?q=place_id:ChIJQXkJkKg9aDQRroQxl2JMErY,戶外,復興區
國立中央大學,桃園市,桃園市中壢區中大路300號,POINT(121.19530 24.96816),https://www.google.com/maps/place/?q=place_id:ChIJy02Q7MEjaDQRVuRcRdQpwc0,戶外,中壢區
大江國際購物中心,桃園市,桃園市中壢區中園路二段501號,POINT(121.22865 25.00099),https://www.google.com/maps/place/?q=place_id:ChIJOXR22rwhaDQRKg6BtwjRbh0,室內,中壢區
黑松飲料博物館,桃園市,桃園市中壢區中園路178號,POINT(121.23706 24.97715),https://www.google.com/maps/place/?q=place_id:ChIJ70aYroshaDQR_PHWROJqCeU,室內,中壢區
桃園楊梅雅聞魅力博覽館,桃園市,桃園市楊梅區中山北路一段21巷1號,POINT(121.15078 24.90676),https://www.google.com/maps/place/?q=place_id:ChIJV0Tn9TE7aDQR1TpiyEArG2o,室內,楊梅區
台塑企業文物館,桃園市,桃園市龜山區文化一路259號長庚大學內,POINT(121.38810 25.03467),https://www.google.com/maps/place/?q=place_id:ChIJf_xkJ2WnQjQR-yRsWPgEKbk,室內,龜山區
臺灣菸酒股份有限公司 桃園酒廠,桃園市,桃園市龜山區文化一路55號,POINT(121.37520 25.05633),https://www.google.com/maps/place/?q=place_id:ChIJi7XZuD2nQjQRipQbQOBqbJc,室內,龜山區
南僑桃園生活體驗園區,桃園市,桃園市龜山區興邦路35號,POINT(121.32478 24.98238),https://www.google.com/maps/place/?q=place_id:ChIJeWuEEswfaDQRTT2a-2t9El0,戶外,龜山區
台茂購物中心,桃園市,桃園市蘆竹區南崁路一段112號,POINT(121.28839 25.05347),https://www.google.com/maps/place/?q=place_id:ChIJReiujXSgQjQRUEIzbN1DkSI,室內,蘆竹區
竹圍漁港,桃園市,桃園市大園區漁港路451巷25號,POINT(121.24448 25.11716),https://www.google.com/maps/place/?q=place_id:ChIJAQAAAKyfQjQR7fhsd-lMPDU,戶外,大園區
白沙岬燈塔,桃園市,桃園市觀音區光明路216號,POINT(121.07624 25.04131),https://www.google.com/maps/place/?q=place_id:ChIJ27tMK5woaDQRzSORHeb5gzA,戶外,觀音區
新屋范姜祖堂,桃園市,桃園市新屋區中正路110巷8號,POINT(121.10444 24.97619),https://www.google.com/maps/place/?q=place_id:ChIJEw6UN6MlaDQRq4xLquXv-Qk,戶外,新屋區
老K舒眠文化館,桃園市,桃園市新屋區梅高路三段97號,POINT(121.14663 24.95372),https://www.google.com/maps/place/?q=place_id:ChIJC1DgX_UkaDQRFK8xZMgiwZI,室內,新屋區
新屋綠色走廊,桃園市,桃園市新屋區觀海路一段,POINT(121.01238 24.96941),https://www.google.com/maps/place/?q=place_id:ChIJD7Q6XBEuaDQR-dGCGkg5hyU,戶外,新屋區
永安漁港,桃園市,桃園市新屋區中山西路三段1165號,POINT(121.01579 24.98772),https://www.google.com/maps/place/?q=place_id:ChIJU9iHxPQuaDQR2v3_t-04zTU,戶外,新屋區
桃園市客家文化館,桃園市,桃園市龍潭區中正路三林段500號,POINT(121.23466 24.84508),https://www.google.com/maps/place/?q=place_id:ChIJz_8Mi6c9aDQRib3rHM_LouI,室內,龍潭區
龍潭聖蹟亭,桃園市,桃園市龍潭區段二十地號,POINT(121.20775 24.86646),https://www.google.com/maps/place/?q=place_id:ChIJPc8MIuU8aDQR6san_2SaDBs,戶外,龍潭區
三坑老街,桃園市,桃園市龍潭區三坑老街45號,POINT(121.24843 24.84434),https://www.google.com/maps/place/?q=place_id:ChIJQzWJoZ09aDQRZxaSPsG28Jk,戶外,龍潭區
小粗坑古道,桃園市,桃園市龍潭區,POINT(121.22154 24.81214),https://www.google.com/maps/place/?q=place_id:ChIJVVVVVTE8aDQRcmiVpDoAx5w,戶外,龍潭區
大溪陵寢,桃園市,桃園市大溪區復興路一段兩蔣文化園區,POINT(121.28603 24.84843),https://www.google.com/maps/place/?q=place_id:ChIJ0-_cDrgXaDQRvjLnANq6lkc,戶外,大溪區
慈湖紀念雕塑公園,桃園市,桃園市大溪區復興路一段1097號,POINT(121.29370 24.84155),https://www.google.com/maps/place/?q=place_id:ChIJt_9vDLEXaDQR-qsmPW84KEM,戶外,大溪區
慈湖,桃園市,桃園市大溪區復興路一段1097號,POINT(121.29426 24.84035),https://www.google.com/maps/place/?q=place_id:ChIJiahl_bMXaDQREwffA7ox-Wc,戶外,大溪區
先總統 蔣公陵寢,桃園市,桃園市大溪區復興路一段1097號,POINT(121.29925 24.84210),https://www.google.com/maps/place/?q=place_id:ChIJ-Thwpa8XaDQRNURc_tM4KBY,戶外,大溪區
後慈湖,桃園市,桃園市大溪區承恩路20號,POINT(121.30239 24.84525),https://www.google.com/maps/place/?q=place_id:ChIJR9jt2aUXaDQRA-jv3ES75Is,戶外,大溪區
木生活館,桃園市,桃園市大溪區普濟路21之3號,POINT(121.28502 24.88171),https://www.google.com/maps/place/?q=place_id:ChIJT8JQFX8ZaDQR3kxiwcn0k7o,室內,大溪區
大溪武德殿,桃園市,桃園市大溪區普濟路33之3號,POINT(121.28613 24.88108),https://www.google.com/maps/place/?q=place_id:ChIJ7SajLyAYaDQRBbRIm4zhlIA,室內,大溪區
大溪中正公園,桃園市,桃園市大溪區大溪老街,POINT(121.28483 24.88388),https://www.google.com/maps/place/?q=place_id:ChIJAcbxQSIYaDQRY-uNQ8Xq704,戶外,大溪區
百吉林蔭步道,桃園市,桃園市大溪區,POINT(121.30743 24.83894),https://www.google.com/maps/place/?q=place_id:ChIJK2Eqfg8XaDQRSA_Heo-NhTk,戶外,大溪區
李騰芳古宅,桃園市,桃園市大溪區月眉路198巷32號,POINT(121.29571 24.89091),https://www.google.com/maps/place/?q=place_id:ChIJwSedXToYaDQRRzDG24ZPDzc,室內,大溪區
大溪老街,桃園市,桃園市大溪區和平路,POINT(121.28748 24.88519),https://www.google.com/maps/place/?q=place_id:ChIJTcPsOCIYaDQRcgNlt8b8tp4,戶外,大溪區
東和音樂體驗館,桃園市,桃園市大溪區信義路226號,POINT(121.29502 24.88596),https://www.google.com/maps/place/?q=place_id:ChIJS-0RFyUYaDQRr6-oJNVQcqI,室內,大溪區
龜山第一河濱公園,桃園市,桃園市龜山區同心二路,POINT(121.33023 24.99477),https://www.google.com/maps/place/?q=place_id:ChIJAQAAABAfaDQRTCcSq05Yq30,戶外,龜山區
五酒桶山步道,桃園市,桃園市蘆竹區長興路一段230巷,POINT(121.29393 25.06596),https://www.google.com/maps/place/?q=place_id:ChIJ6WwGCGmgQjQRaH448cY9ONg,戶外,蘆竹區
林家古厝休閒農場,桃園市,桃園市觀音區大富路221號,POINT(121.12869 24.99883),https://www.google.com/maps/place/?q=place_id:ChIJt2i7GiEmaDQRZl1y5T5X1P4,室內,觀音區
溪口台地風景區,桃園市,桃園市復興區溪口路107號,POINT(121.34658 24.80920),https://www.google.com/maps/place/?q=place_id:ChIJe7QxRM4WaDQRdeHSDf-hozw,戶外,復興區
光泉牧場股份有限公司 大園廠,桃園市,桃園市大園區大觀路1249號,POINT(121.16088 25.05534),https://www.google.com/maps/place/?q=place_id:ChIJPecslDcnaDQRs_Ke5cdhQy0,室內,大園區
金車咖啡文教館(請先來電預約),桃園市,桃園市中壢區榮民南路412號,POINT(121.25448 24.94820),https://www.google.com/maps/place/?q=place_id:ChIJO09QG3MiaDQRKZn8L49_h0o,室內,中壢區
桃園八德埤塘自然生態公園,桃園市,桃園市八德區興豐路1315號,POINT(121.31125 24.94165),https://www.google.com/maps/place/?q=place_id:ChIJta1C4CAZaDQRvWIC-pPjiPI,戶外,八德區
桃園藝文廣場,桃園市,桃園市桃園區中正路1188號,POINT(121.30000 25.01749),https://www.google.com/maps/place/?q=place_id:ChIJLTt947AfaDQRTSaeSJv68bo,戶外,桃園區
小烏來天空步道,桃園市,桃園市復興區4之6號,POINT(121.37548 24.79033),https://www.google.com/maps/place/?q=place_id:ChIJDz8NPEERaDQRimiQhCRLCG4,戶外,復興區
桃園市原住民族文化會館,桃園市,桃園市大溪區員林路一段29巷101號,POINT(121.28212 24.89615),https://www.google.com/maps/place/?q=place_id:ChIJ0bcpLxQYaDQRm0TakXa1I7A,室內,大溪區
觀音濱海休憩區(原觀音海水浴場),桃園市,桃園市觀音區中興路469號,POINT(121.07624 25.04701),https://www.google.com/maps/place/?q=place_id:ChIJUREM4iUpaDQRgdyIPemocwk,戶外,觀音區
大溪河濱公園,桃園市,桃園市大溪區大鶯路60巷89弄75號,POINT(121.28364 24.89326),https://www.google.com/maps/place/?q=place_id:ChIJzRhetRcYaDQRF1DpSokjfjM,戶外,大溪區
77巧克力共和國,桃園市,桃園市八德區巧克力街177號,POINT(121.29296 24.94178),https://www.google.com/maps/place/?q=place_id:ChIJ96H7-OoYaDQROPdHKCsGUsg,室內,八德區
經國紀念館,桃園市,桃園市大溪區復興路一段896號,POINT(121.28536 24.84916),https://www.google.com/maps/place/?q=place_id:ChIJI612eLgXaDQRmgEWHc14Dsw,室內,大溪區
老街溪河川教育中心,桃園市,桃園市中壢區中原路58號,POINT(121.21788 24.95377),https://www.google.com/maps/place/?q=place_id:ChIJpbq1mEwiaDQRrhQJKluVJqI,室內,中壢區
江記豆腐乳文化館,桃園市,桃園市中壢區月眉路二段248巷85號,POINT(121.18478 25.00648),https://www.google.com/maps/place/?q=place_id:ChIJRyHQrUchaDQRCJ2J9jqQ9F4,室內,中壢區
太平洋自行車博物館(平日預約參觀),桃園市,桃園市新屋區永福路686號,POINT(121.03216 24.98599),https://www.google.com/maps/place/?q=place_id:ChIJ62egJvwuaDQRsl-LTK6Uuvo,室內,新屋區
巴陵古道生態園區,桃園市,桃園市復興區,POINT(121.38316 24.67959),https://www.google.com/maps/place/?q=place_id:ChIJQ8kXh8lsaDQRMuJIARo9QVI,戶外,復興區
桃園1-4號生態埤塘,桃園市,桃園市桃園區國際路一段863號,POINT(121.28955 24.97999),https://www.google.com/maps/place/?q=place_id:ChIJqX0exj4faDQR1eFwsuBElHQ,戶外,桃園區
好時節休閒農場 ,桃園市,桃園市大溪區康莊路三段225號,POINT(121.28215 24.85428),https://www.google.com/maps/place/?q=place_id:ChIJb-4jX-oXaDQRy66ifyq3-2Y,戶外,大溪區
老街溪河濱自行車(步)道,桃園市,桃園市中壢區環北路87號,POINT(121.21871 24.96738),https://www.google.com/maps/place/?q=place_id:ChIJC68yETsjaDQRyNBs6Cd5gos,戶外,中壢區
新勢公園,桃園市,桃園市平鎮區延平路中豐路口,POINT(121.21673 24.95183),https://www.google.com/maps/place/?q=place_id:ChIJqR-aSrMjaDQRAYHNtGF1MPE,戶外,平鎮區
桃園大古山登山步道公園,桃園市,桃園市蘆竹區大古路228號,POINT(121.29034 25.10127),https://www.google.com/maps/place/?q=place_id:ChIJr165EKKhQjQRvuBuriVEf20,戶外,蘆竹區
長流當代美術館 桃園館,桃園市,桃園市蘆竹區中山路21號,POINT(121.30176 25.04990),https://www.google.com/maps/place/?q=place_id:ChIJP1SDQ3mgQjQRP_8HJhKPC4s,室內,蘆竹區
龍情 魔幻豆子主題館,桃園市,桃園市大溪區復興路一段900號,POINT(121.28472 24.84808),https://www.google.com/maps/place/?q=place_id:ChIJVSi_7ccXaDQRcHeZqWo0PNs,室內,大溪區
祥儀機器人夢工廠,桃園市,桃園市桃園區桃鶯路461號,POINT(121.32385 24.97528),https://www.google.com/maps/place/?q=place_id:ChIJQXpsNsIeaDQRlczNBf4hxkY,室內,桃園區
金格觀光工廠|卡司·蒂菈樂園,桃園市,桃園市蘆竹區大竹北路90之66號,POINT(121.25349 25.03153),https://www.google.com/maps/place/?q=place_id:ChIJHRfjcqsfaDQR_VUwjusS5UM,室內,蘆竹區
八德興仁花園夜市,桃園市,桃園市八德區長興路46號,POINT(121.28312 24.93065),https://www.google.com/maps/place/?q=place_id:ChIJhxiHRNIYaDQRFG2a2zEPDZ0,室內,八德區
許厝港濕地,桃園市,桃園市大園區老街溪河口右岸,POINT(121.17625 25.08733),https://www.google.com/maps/place/?q=place_id:ChIJ6fgWOAaeQjQRxVjRDAnpP2I,戶外,大園區
大溪老茶廠,桃園市,桃園市大溪區復興路二段732巷80號,POINT(121.32837 24.83066),https://www.google.com/maps/place/?q=place_id:ChIJNRoI4B4XaDQRl0iNJO8_NOc,室內,大溪區
馬祖新村眷村文創園區,桃園市,桃園市中壢區龍吉二街155號,POINT(121.23779 24.93559),https://www.google.com/maps/place/?q=place_id:ChIJBXB4Zl4iaDQRAd3u_l2VuI0,戶外,中壢區
中壢區觀光夜市,桃園市,桃園市中壢區新明路,POINT(121.21516 24.95999),https://www.google.com/maps/place/?q=place_id:ChIJTVRKncojaDQR3W-T_3sKgx4,戶外,中壢區
中平商圈徒步區,桃園市,桃園市中壢區中平路66號,POINT(121.22585 24.95423),https://www.google.com/maps/place/?q=place_id:ChIJE4BpPEoiaDQRtgb3dT8nkdo,戶外,中壢區
羊世界牧場,桃園市,桃園市中壢區三芝路169號,POINT(121.21031 24.98200),https://www.google.com/maps/place/?q=place_id:ChIJ7QdPAtYjaDQRKChY_Zwm-U4,戶外,中壢區
桃園觀光夜市,桃園市,桃園市桃園區中正路與號北埔路交叉口,POINT(121.30600 25.00270),https://www.google.com/maps/place/?q=place_id:ChIJ4crHk6ofaDQRE3cC4KSFkuo,戶外,桃園區
虎頭山環保公園,桃園市,桃園市桃園區成功路三段,POINT(121.32839 25.01204),https://www.google.com/maps/place/?q=place_id:ChIJC6k1zUMeaDQRmZrIiz-6fLo,戶外,桃園區
義興吊橋,桃園市,桃園市復興區,POINT(121.36692 24.79015),https://www.google.com/maps/place/?q=place_id:ChIJI7Ag6kURaDQRvBhlsYn7b2Y,戶外,復興區
